index,filename,reduced_formula,full_formula,num_sites,status,r_val,quality_tag,temperature,pressure,sgr,is_polymorph,polymorph_count,sg_number,refined_sg_number,refined_sg_symbol,is_organic,prototype
38865,182158.cif,NaAs,Na+8 As-8,16,success,,,,,P212121,True,4.0,19.0,19.0,P2_12_12_1,False,Rocksalt/Zincblende/CsCl
38866,182159.cif,NaAs,Na+8 As-8,16,success,,,,,P121/C1,True,4.0,14.0,14.0,P2_1/c,False,Rocksalt/Zincblende/CsCl
38867,182160.cif,NaAs,Na+1 As-1,2,success,,,,,P4/MMM,True,4.0,123.0,123.0,P4/mmm,False,Rocksalt/Zincblende/CsCl
79033,421420.cif,NaAs,Na0+8 As0+8,16,success,0.0677,,173.0,0.101325,P121/C1,True,4.0,14.0,14.0,P2_1/c,False,Rocksalt/Zincblende/CsCl
39706,184562.cif,NaAsF6,Na+3 As5+3 F-18,24,success,,,,,,True,4.0,,148.0,R-3,False,Perovskite
66780,39374.cif,NaB6(H5O)2,Na+8 B1.17-48 H+80 O2-16,216,success,0.077,Q,295.0,0.101325,P42/NCMS,True,4.0,,138.0,P4_2/ncm,False,Quaternary
66781,39375.cif,NaB6(H5O)2,Na+8 B1.17-48 H+80 O2-16,184,success,0.066,,130.0,0.101325,P42212,True,4.0,94.0,94.0,P4_22_12,False,Quaternary
66782,39376.cif,NaB6(H5O)2,Na+8 B1.17-48 H+80 O2-16,184,success,0.061,,250.0,0.101325,P42212,True,4.0,94.0,94.0,P4_22_12,False,Quaternary
66783,39377.cif,NaB6(H5O)2,Na+8 B1.17-48 H+80 O2-16,216,success,0.058,,260.0,0.101325,P42/NCMS,True,4.0,,138.0,P4_2/ncm,False,Quaternary
22259,161160.cif,NaBF4,Na+4 B3+4 F-16,24,success,0.0143,,100.0,0.101325,CMCM,True,4.0,63.0,63.0,Cmcm,False,Ternary
53157,26001.cif,NaBeSi3O8,Na+8 Be2+8 Si4+24 O2-64,104,success,0.08,Q,293.0,0.101325,C12/C1,True,4.0,15.0,15.0,C2/c,False,Quaternary
56215,26736.cif,NaBeSi3O8,Na+8 Be2+8 Si4+24 O2-64,104,success,,,293.0,0.101325,PNAM,True,4.0,,62.0,Pnma,False,Quaternary
57019,27598.cif,NaBeSi3O8,Na+8 Be2+8 Si4+24 O2-64,104,success,,,293.0,0.101325,C12/C1,True,4.0,15.0,15.0,C2/c,False,Quaternary
60729,2941.cif,NaBeSi3O8,Na+8 Be2+8 Si4+24 O2-64,104,success,0.084,Q,293.0,0.101325,PNMA,True,4.0,62.0,62.0,Pnma,False,Quaternary
8473,109643.cif,NaCO2,Na+4 C2+4 O2-8,16,success,0.03,,120.0,0.101325,C12/C1,True,4.0,15.0,15.0,C2/c,False,Ternary
33318,171458.cif,NaCO2,Na+4 C3+4 O2-8,16,success,,,300.0,0.101325,P121/C1,True,4.0,14.0,14.0,P2_1/c,False,Ternary
90081,56906.cif,NaCO2,Na+4 C0+4 O-4 O0+4,16,success,0.03,,140.0,0.101325,P121/C1,True,4.0,14.0,14.0,P2_1/c,False,Ternary
57625,280175.cif,NaCoPO4,Na+4 Co2+4 P5+4 O2-16,28,success,0.0182,,150.0,0.101325,P121/N1,True,4.0,,14.0,P2_1/c,False,Quaternary
134010,82752.cif,NaCoPO4,Na+4 Co2+4 P5+4 O2-16,28,success,0.031,Q,293.0,0.101325,PNMA,True,4.0,62.0,62.0,Pnma,False,Quaternary
134011,82753.cif,NaCoPO4,Na+24 Co2+24 P5+24 O2-96,168,success,0.046,Q,293.0,0.101325,P65,True,4.0,170.0,1.0,P1,False,Quaternary
135966,84709.cif,NaCoPO4,Na+8 Co2+8 P5+8 O2-32,56,success,0.021,Q,293.0,0.101325,P121/C1,True,4.0,14.0,14.0,P2_1/c,False,Quaternary
24416,163143.cif,NaFeAs,Na+2 Fe2+2 As3-2,6,success,0.0209,Q,295.0,0.101325,P4/NMMZ,True,4.0,129.0,129.0,P4/nmm,False,Ternary
39987,187136.cif,NaFeAs,Na+4 Fe2+4 As3-4,12,success,,,,,,True,4.0,,63.0,Cmcm,False,Ternary
39988,187137.cif,NaFeAs,Na+4 Fe2+4 As3-4,12,success,,,,,,True,4.0,,164.0,P-3m1,False,Ternary
65212,37013.cif,NaFeP2O7,Na+4 Fe3+4 P5+8 O2-28,44,success,0.04,Q,293.0,0.101325,P121/C1,True,4.0,14.0,14.0,P2_1/c,False,Quaternary
44842,2226.cif,NaH5SO4,Na+8 H+40 S2-4 S6+4 O2-32,88,success,0.087,Q,293.0,0.101325,P121/C1,True,4.0,14.0,14.0,P2_1/c,False,Quaternary
141616,9054.cif,NaH5SO4,Na+8 H+40 S2-4 S6+4 O2-32,88,success,0.082,,293.0,0.101325,P121/C1,True,4.0,14.0,14.0,P2_1/c,False,Quaternary
33885,172018.cif,NaLi2(RuO2)6,Na+1 Li+2 Ru3.50+6 O2-12,22,success,0.044,Q,293.0,0.101325,P63/M,True,4.0,,176.0,P6_3/m,False,Quaternary
