mp_id,oxidation_states,entry_type
mp-1009135,"{'Mn': 3.0, 'P': -3.0}",GGA
mp-1009206,{},GGA
mp-1009207,"{'Mn': 3.0, 'Sb': -3.0}",GGA
mp-1009213,"{'Mn': 3.0, 'Sb': -3.0}",GGA
mp-1009217,"{'Mn': 3.0, 'Sb': -3.0}",GGA
mp-1009218,"{'Mo': 4.0, 'C': -4.0}",GGA
mp-1009222,"{'Mn': 2.0, 'Te': -2.0}",GGA
mp-1009230,"{'Nd': 3.0, 'As': -3.0}",GGA
mp-1009458,"{'Nb': 4.0, 'C': -4.0}",GGA
mp-1009459,"{'Nb': 3.0, 'C': -3.0}",GGA
mp-1009483,"{'Ni': 3.0, 'N': -3.0}",GGA
mp-1009488,"{'Ni': 3.0, 'N': -3.0}",GGA
mp-1009489,"{'Rb': 1.0, 'Te': -1.0}",GGA
mp-1009491,"{'Rb': 1.0, 'Te': -1.0}",GGA
mp-1009493,{},GGA
mp-1009494,{},GGA
mp-1009495,{},GGA
mp-1009496,{},GGA
mp-1009504,"{'Eu': 2.0, 'Zn': 2.0, 'Ge': -4.0}",GGA
mp-1009533,"{'Pd': 2.0, 'C': -2.0}",GGA
mp-1009537,"{'Os': 4.0, 'C': -4.0}",GGA
mp-1009538,"{'Pd': 2.0, 'C': -2.0}",GGA
mp-1009539,"{'Os': 4.0, 'C': -4.0}",GGA
mp-1009540,"{'Os': 4.0, 'C': -4.0}",GGA
mp-1009551,"{'Pb': 2.0, 'S': -2.0}",GGA
mp-1009555,"{'Cr': 4.0, 'O': -2.0}",GGA+U
mp-1009596,"{'Pd': 3.0, 'N': -3.0}",GGA
mp-1009601,"{'Pd': 3.0, 'N': -3.0}",GGA
mp-1009639,"{'Pr': 3.0, 'N': -3.0}",GGA
mp-1009646,"{'Re': 3.0, 'N': -3.0}",GGA
mp-1009648,"{'Pt': 4.0, 'C': -4.0}",GGA
mp-1009649,"{'Pr': 3.0, 'N': -3.0}",GGA
mp-1009650,"{'Rb': 1.0, 'Sb': -1.0}",GGA
mp-1009651,{},GGA
mp-1009653,"{'Ca': 2.0, 'C': -1.0}",GGA
mp-1009654,{},GGA
mp-1009655,"{'Ca': 2.0, 'C': -1.0}",GGA
mp-1009694,"{'Re': 3.0, 'N': -3.0}",GGA
mp-1009720,"{'Rh': 3.0, 'N': -3.0}",GGA
mp-1009730,{},GGA
mp-1009731,"{'Re': 3.0, 'C': -3.0}",GGA
mp-1009734,"{'Rh': 3.0, 'N': -3.0}",GGA
mp-1009735,"{'Re': 4.0, 'C': -4.0}",GGA
mp-1009747,{},GGA
mp-1009748,"{'Sc': 2.0, 'C': -2.0}",GGA
mp-1009750,"{'Sc': 3.0, 'N': -3.0}",GGA
mp-1009751,"{'Sc': 3.0, 'C': -3.0}",GGA
mp-1009752,"{'Sc': 2.0, 'Si': -2.0}",GGA
mp-1009753,{},GGA
mp-1009755,"{'Ca': 2.0, 'Ge': -4.0}",GGA
mp-1009756,{},GGA
mp-1009767,"{'Ag': 1.0, 'N': -1.0}",GGA
mp-1009769,"{'Ru': 3.0, 'N': -3.0}",GGA
mp-1009770,"{'Ru': 3.0, 'N': -3.0}",GGA
mp-1009814,"{'Sm': 3.0, 'As': -3.0}",GGA
mp-1009819,"{'Sr': 2.0, 'O': -2.0}",GGA
mp-1009828,"{'Ba': 2.0, 'Si': 2.0, 'C': -4.0}",GGA
mp-1009831,"{'Ta': 1.0, 'N': -1.0}",GGA
mp-1009832,"{'Ta': 4.0, 'C': -4.0}",GGA
mp-1009833,"{'Ta': 3.0, 'N': -3.0}",GGA
mp-1009835,"{'Ta': 2.0, 'C': -2.0}",GGA
mp-1009837,"{'Tc': 4.0, 'C': -4.0}",GGA
mp-1009848,"{'Tc': 4.0, 'C': -4.0}",GGA
mp-1009878,"{'Zr': 2.0, 'C': -2.0}",GGA
mp-1009894,"{'Zr': 4.0, 'C': -4.0}",GGA
mp-1010,{},GGA
mp-1010161,"{'Dy': 3.0, 'As': -3.0}",GGA
mp-1010953,{},GGA
mp-10110,"{'Si': -4.0, 'Rh': 4.0}",GGA
mp-1011031,"{'Pr': 3.0, 'Bi': -3.0}",GGA
mp-1011260,"{'Eu': 3.0, 'Fe': 3.0, 'O': -2.0}",GGA+U
mp-1011374,"{'Ce': 3.0, 'Se': -1.5}",GGA
mp-1011375,"{'Ce': 4.0, 'Se': -2.0}",GGA
mp-1011376,"{'Ce': 2.0, 'Se': -1.0}",GGA
mp-1011377,"{'Ce': 4.0, 'Se': -2.0}",GGA
mp-1011695,"{'Cs': 1.0, 'Se': -2.0}",GGA
mp-1011696,"{'Cs': 1.0, 'Se': -2.0}",GGA
mp-1011697,"{'Cs': 1.0, 'Se': -2.0}",GGA
mp-1011709,"{'Cs': 1.0, 'Se': -2.0}",GGA
mp-1012435,"{'Pb': 2.0, 'S': -2.0}",GGA
mp-1012551,"{'Ba': 2.0, 'Br': -1.0, 'Cl': -1.0}",GGA
mp-1012835,"{'Sm': 3.0, 'Cu': 1.0, 'W': 6.0, 'O': -2.0}",GGA+U
mp-1013524,"{'Ca': 2.0, 'N': -3.0}",GGA
mp-1013525,"{'V': 4.0, 'S': -2.0}",GGA
mp-1013526,"{'V': 4.0, 'S': -2.0}",GGA
mp-1013532,"{'Sr': 2.0, 'As': -3.0, 'P': -3.0}",GGA
mp-1013533,"{'Ba': 2.0, 'P': -3.0, 'N': -3.0}",GGA
mp-1013536,"{'Sr': 2.0, 'P': -3.0, 'N': -3.0}",GGA
mp-1013537,"{'Sr': 2.0, 'As': -3.0, 'N': -3.0}",GGA
mp-1013540,"{'Ca': 2.0, 'P': -3.0, 'N': -3.0}",GGA
mp-1013542,"{'Ca': 2.0, 'Bi': -3.0, 'N': -3.0}",GGA
mp-1013543,"{'Ca': 2.0, 'As': -3.0, 'N': -3.0}",GGA
mp-1013544,"{'Ca': 2.0, 'Sb': -3.0, 'As': -3.0}",GGA
mp-1013545,"{'Ca': 2.0, 'Bi': -3.0, 'As': -3.0}",GGA
mp-1013548,"{'Ca': 2.0, 'Sb': -3.0, 'N': -3.0}",GGA
mp-1013549,"{'Ba': 2.0, 'Bi': -3.0, 'N': -3.0}",GGA
mp-1013550,"{'Ca': 2.0, 'Sb': -3.0, 'P': -3.0}",GGA
mp-1013553,"{'Sr': 2.0, 'As': -3.0, 'P': -3.0}",GGA
mp-1013554,"{'Sr': 2.0, 'P': -3.0, 'N': -3.0}",GGA
mp-1013555,"{'Sr': 2.0, 'As': -3.0, 'N': -3.0}",GGA
mp-1013558,"{'Ca': 2.0, 'Bi': -3.0, 'P': -3.0}",GGA
mp-1013563,"{'Ba': 2.0, 'Bi': -3.0, 'As': -3.0}",GGA
mp-1013564,"{'Sr': 2.0, 'Bi': -3.0, 'As': -3.0}",GGA
mp-1013585,"{'Sr': 2.0, 'Bi': -3.0, 'Sb': -3.0}",GGA
mp-1013642,"{'Ca': 2.0, 'As': -3.0, 'P': -3.0}",GGA
mp-1013702,"{'Ca': 2.0, 'Bi': -3.0, 'P': -3.0}",GGA
mp-1013703,"{'Ca': 2.0, 'Bi': -3.0, 'As': -3.0}",GGA
mp-1013704,"{'Ca': 2.0, 'Bi': -3.0, 'Sb': -3.0}",GGA
mp-1013705,"{'Sr': 2.0, 'Bi': -3.0, 'As': -3.0}",GGA
mp-1013706,"{'Sr': 2.0, 'Bi': -3.0, 'Sb': -3.0}",GGA
mp-1013707,"{'Ba': 2.0, 'P': -3.0, 'N': -3.0}",GGA
mp-1013709,"{'Ba': 2.0, 'As': -3.0, 'N': -3.0}",GGA
mp-1013710,"{'Ba': 2.0, 'Bi': -3.0, 'N': -3.0}",GGA
mp-1013712,"{'Ba': 2.0, 'Sb': -3.0, 'P': -3.0}",GGA
